idx,date_time,proposal_id,target_id,obsid,object,ra,dec,ins,abstract,PI
528,2020-01-22 23:00:04,A07_135,T01,A07_135T01_9000003452,dg_01,162.418733,9.006449,uvit1,"We propose to use ASTROSAT-UVIT to observe three isolated dwarf galaxy groups (reported in SDSS) in the Far-Ultra Violet (FUV). The dwarf galaxy sample range in masses from $\log(\frac{M}{M_{\odot}})$ = 7.11 to 9.32. We want to combine the FUV observations with existing multiwavelength and spectral data from SDSS and do Spectral Energy Distribution (SED) modelling which will allow us to constrain the star formation properties in the UV, the stellar population models and also the Initial Mass Function (IMF) at this low galaxy mass regime. SED modelling will allow us to do an accurate measurement of Star Formation Rates (SFRs), Star Formation Histories (SFHs) and galaxy mass assembly in these small dwarf groups which still an active subject of study. To achieve the goal of our proposal we request a total of 22.6 ksec of observing time with three pointings.",anshuman
529,2020-01-23 11:44:11,C05_002,T04,C05_002T04_9000003454,XRBBlankF1T4,203.654167,37.912222,sxt,"We propose to observe an X-ray ""blank sky"" field weekly, each time for 1.5 ks, in the bias map (BM) mode. This will be extremely useful to track the time evolution of bias map and zero energy point, and to subtract a more reliable bias for each science observation. The proposed observation will also be very useful for background estimation.",sudip
530,2020-01-23 13:29:33,A07_138,T06,A07_138T06_9000003456,J143031.19+524225.84,217.629958,52.707178,uvit1,"%latex% We propose to observe in UV 10 double-peak emission-line galaxies, exhibiting an asymmetric kinematics (due to satellite pointing constraints, the sample is reduced to 8). We gathered this sample from a catalogue of double-peaked galaxies (Maschmann et al., in prep) selected from the SDSS. Half of them have been chosen because (1) they have an off-centering of one of the component with respect to the stellar velocity, (2) the two peaks have two different BPT classifications. The other half consists of galaxies observed by MaNGA, and double-peak features are observed in half of the field, suggesting the presence of a companion in the corresponding part. We propose to map these galaxies in FUV in order to study their star formation rate, to eventually detect tidal features and/or minor mergers, to constrain the emission timescale associated to the life-time of O and B stars and the impact of AGN feedback.",Barbara
531,2020-01-23 19:45:19,A07_138,T09,A07_138T09_9000003458,J164754.90+443345.05,251.978750,44.562514,uvit1,"%latex% We propose to observe in UV 10 double-peak emission-line galaxies, exhibiting an asymmetric kinematics (due to satellite pointing constraints, the sample is reduced to 8). We gathered this sample from a catalogue of double-peaked galaxies (Maschmann et al., in prep) selected from the SDSS. Half of them have been chosen because (1) they have an off-centering of one of the component with respect to the stellar velocity, (2) the two peaks have two different BPT classifications. The other half consists of galaxies observed by MaNGA, and double-peak features are observed in half of the field, suggesting the presence of a companion in the corresponding part. We propose to map these galaxies in FUV in order to study their star formation rate, to eventually detect tidal features and/or minor mergers, to constrain the emission timescale associated to the life-time of O and B stars and the impact of AGN feedback.",Barbara
532,2020-01-25 15:55:48,A07_127,T02,A07_127T02_9000003460,NGC 160,9.016667,23.957778,uvit1,"We propose to deeply observe three lenticulars and two early-type spirals (ETSs) galaxies hosting excess UV emission (XUV) in their outer disks in order to study the nature of extended disk star formation. We have selected five SO/ETS galaxies that have UV excess emission in their outer disks in the form of spiral arms or arm fragments, complete or incomplete rings. The emission is thought to be due to gas accretion from the intergalactic medium or due to the interaction between galaxies. The shallow GALEX (Galaxy Evolution Explorer) observations of these galaxies were not able to resolve the extended UV structure and star-forming regions in their outer disks. The deep and high spatial resolution of UVIT observations will enable us to reveal these faint features. To achieve our goals we have requested for a total of 50ks new UVIT observations of 5 early-type disk galaxies.",Rahnapt
533,2020-01-27 11:25:32,A07_138,T04,A07_138T04_9000003462,J132704.36+481936.32,201.768167,48.326756,uvit1,"%latex% We propose to observe in UV 10 double-peak emission-line galaxies, exhibiting an asymmetric kinematics (due to satellite pointing constraints, the sample is reduced to 8). We gathered this sample from a catalogue of double-peaked galaxies (Maschmann et al., in prep) selected from the SDSS. Half of them have been chosen because (1) they have an off-centering of one of the component with respect to the stellar velocity, (2) the two peaks have two different BPT classifications. The other half consists of galaxies observed by MaNGA, and double-peak features are observed in half of the field, suggesting the presence of a companion in the corresponding part. We propose to map these galaxies in FUV in order to study their star formation rate, to eventually detect tidal features and/or minor mergers, to constrain the emission timescale associated to the life-time of O and B stars and the impact of AGN feedback.",Barbara
534,2020-01-27 16:25:27,A07_138,T02,A07_138T02_9000003464,J110704.17+454919.62,166.767375,45.822117,uvit1,"%latex% We propose to observe in UV 10 double-peak emission-line galaxies, exhibiting an asymmetric kinematics (due to satellite pointing constraints, the sample is reduced to 8). We gathered this sample from a catalogue of double-peaked galaxies (Maschmann et al., in prep) selected from the SDSS. Half of them have been chosen because (1) they have an off-centering of one of the component with respect to the stellar velocity, (2) the two peaks have two different BPT classifications. The other half consists of galaxies observed by MaNGA, and double-peak features are observed in half of the field, suggesting the presence of a companion in the corresponding part. We propose to map these galaxies in FUV in order to study their star formation rate, to eventually detect tidal features and/or minor mergers, to constrain the emission timescale associated to the life-time of O and B stars and the impact of AGN feedback.",Barbara
535,2020-01-27 22:50:49,A07_138,T01,A07_138T01_9000003466,J110233.35+224513.71,165.638958,22.753811,uvit1,"%latex% We propose to observe in UV 10 double-peak emission-line galaxies, exhibiting an asymmetric kinematics (due to satellite pointing constraints, the sample is reduced to 8). We gathered this sample from a catalogue of double-peaked galaxies (Maschmann et al., in prep) selected from the SDSS. Half of them have been chosen because (1) they have an off-centering of one of the component with respect to the stellar velocity, (2) the two peaks have two different BPT classifications. The other half consists of galaxies observed by MaNGA, and double-peak features are observed in half of the field, suggesting the presence of a companion in the corresponding part. We propose to map these galaxies in FUV in order to study their star formation rate, to eventually detect tidal features and/or minor mergers, to constrain the emission timescale associated to the life-time of O and B stars and the impact of AGN feedback.",Barbara
536,2020-01-28 08:36:38,A07_127,T01,A07_127T01_9000003468,NGC 4698,192.095417,8.487500,uvit1,"We propose to deeply observe three lenticulars and two early-type spirals (ETSs) galaxies hosting excess UV emission (XUV) in their outer disks in order to study the nature of extended disk star formation. We have selected five SO/ETS galaxies that have UV excess emission in their outer disks in the form of spiral arms or arm fragments, complete or incomplete rings. The emission is thought to be due to gas accretion from the intergalactic medium or due to the interaction between galaxies. The shallow GALEX (Galaxy Evolution Explorer) observations of these galaxies were not able to resolve the extended UV structure and star-forming regions in their outer disks. The deep and high spatial resolution of UVIT observations will enable us to reveal these faint features. To achieve our goals we have requested for a total of 50ks new UVIT observations of 5 early-type disk galaxies.",Rahnapt
537,2020-01-28 21:34:11,A07_100,T02,A07_100T02_9000003470,Circinus Galaxy,213.291250,-65.339167,sxt,"We propose AstroSat/(SXT, LAXPC and UVIT) observations of a sample 10 Swift/BAT selected Compton-thick Active Galactic Nuclei (CT-AGN). Given the limited photon statistics in the Swift/BAT spectra (only eight energy channels in 14 - 195 keV band) and the use of non-simultaneous data below 10 keV (thus being affected by time variability), can cause large uncertainties in the derived spectral parameters including the line-of-sight absorbing column density. With our proposed observations we aim to obtain simultaneous soft 0.5 - 10 keV (from SXT) as well as hard 3 - 80 keV (from LAXPC) X-ray spectra and hence covering a broad energy range of 0.5 - 80 keV. The improved hard X-ray spectral statistics from AstroSat would allow us to address several science questions outlined in our scientific justification.",AbhijitKayal
538,2020-01-30 13:23:46,C05_002,T05,C05_002T05_9000003472,XRBBlankF1T5,203.654167,37.912222,sxt,"We propose to observe an X-ray ""blank sky"" field weekly, each time for 1.5 ks, in the bias map (BM) mode. This will be extremely useful to track the time evolution of bias map and zero energy point, and to subtract a more reliable bias for each science observation. The proposed observation will also be very useful for background estimation.",sudip
539,2020-01-30 15:03:49,A07_148,T02,A07_148T02_9000003474,ESO 509-IG 066 NED 02,203.669875,-23.445889,uvit1,"We propose to map the UV emission around the dual AGN in the galaxies MRK~739 and ESO 509. We have observed these galaxies in UVIT for 2.5~ksec (A03-091). However, our motivation is to detect the star-forming knots and to detect the star-formation due to AGN feedback. Hence, we need deeper observations of these targets in order to improve sensitivity. From the previous observations of another DAGN galaxy MRK 212, we have found that a deeper observation with exposure times > 15 ksec improved the image sensitivity and help us achieve the goals. We estimate that a 40~Ks UVIT observation of MRK 739 and ESO 509 (20~ksec each) will enable us to resolve the star-forming regions around the two nuclei and in the disk and tidal tails. We are also doing multi-wavelength follow-up observations of both sources. We expect to detect the signature of AGN feedback with these UVIT observations.",rubinur
540,2020-01-31 17:53:34,A07_100,T02,A07_100T02_9000003476,Circinus Galaxy,213.291250,-65.339167,sxt,"We propose AstroSat/(SXT, LAXPC and UVIT) observations of a sample 10 Swift/BAT selected Compton-thick Active Galactic Nuclei (CT-AGN). Given the limited photon statistics in the Swift/BAT spectra (only eight energy channels in 14 - 195 keV band) and the use of non-simultaneous data below 10 keV (thus being affected by time variability), can cause large uncertainties in the derived spectral parameters including the line-of-sight absorbing column density. With our proposed observations we aim to obtain simultaneous soft 0.5 - 10 keV (from SXT) as well as hard 3 - 80 keV (from LAXPC) X-ray spectra and hence covering a broad energy range of 0.5 - 80 keV. The improved hard X-ray spectral statistics from AstroSat would allow us to address several science questions outlined in our scientific justification.",AbhijitKayal
541,2020-02-01 21:39:10,A07_112,T01,A07_112T01_9000003478,NGC4136,182.323750,29.927500,uvit1,"We propose to study the far ultraviolet (FUV) emission from two nearby, gas rich dwarf galaxies, NGC 4136 and UGC 7608 that are nearly face-on in morphology and have ongoing star formation. NGC 4136 is a dwarf spiral with bright spiral arms whereas UGC 7608 is an LSB dwarf but has compact star forming regions in its inner disk. We already have GMRT HI observation time for both sources in the ongoing cycle. The higher sensitivity and spatial resolution of UVIT will allow us to resolve the star forming complexes, estimate their star formation rates (SFRs), knot sizes and FUV luminosities. We will correlate the SFRs with HI gas densities and compare the SFRS in both galaxies. These observations will also help us understand star formation in low density and metal poor environments in our local Universe. We request a total observing time of 20 ks to complete our study.",mousumi
542,2020-02-02 15:21:04,A07_112,T02,A07_112T02_9000003480,UGC7608,187.184167,43.224167,uvit1,"We propose to study the far ultraviolet (FUV) emission from two nearby, gas rich dwarf galaxies, NGC 4136 and UGC 7608 that are nearly face-on in morphology and have ongoing star formation. NGC 4136 is a dwarf spiral with bright spiral arms whereas UGC 7608 is an LSB dwarf but has compact star forming regions in its inner disk. We already have GMRT HI observation time for both sources in the ongoing cycle. The higher sensitivity and spatial resolution of UVIT will allow us to resolve the star forming complexes, estimate their star formation rates (SFRs), knot sizes and FUV luminosities. We will correlate the SFRs with HI gas densities and compare the SFRS in both galaxies. These observations will also help us understand star formation in low density and metal poor environments in our local Universe. We request a total observing time of 20 ks to complete our study.",mousumi
543,2020-02-03 09:06:27,A07_011,T01,A07_011T01_9000003482,EGS,217.266667,52.870000,uvit1,"The identification of the sources responsible for ionizing the intergalactic medium (IGM) - particularly in the era of reionization - is one of the most important unanswered questions in cosmology. At high-redshifts, directly addressing this question is hampered by the opacity of the intervening IGM which blocks the transmission of Lyman continuum (LyC) flux. Recently, lower redshift studies have suggested that the best indicator of LyC escape is strong [OIII] emission. For the first time, we are now in a position to conduct a systematic search for LyC flux from a [OIII] selected sample at a redshift of z=1. This redshift regime is low enough to be largely unaffected by the intervening IGM, yet high enough to exhibit strong nebular emission typical of the high-redshift universe. We propose an AstroSat FUV imaging survey to measure the LyC escape fraction for a sample of 146 [OIII] emitters at z=1.1.",isakwold
544,2020-02-07 13:50:30,A07_024,T04,A07_024T04_9000003484,NGC 4651,190.927625,16.393389,uvit1,"One of the fundamental characteristic of the Lambda Cold Dark Matter paradigm is minor mergers and is expected to be ubiquitous in the local Universe. The minor mergers leave certain observable features around the parent galaxy and these features can extend upto few kiloparsec around the galaxy. Due to the lack of deep photometric observations, only few literature studies are available regarding the tidal features around late-type galaxies. In 2010, Martinez-Delegado initiated an optical survey investigating the tidal features of minor mergers in late type galaxies. In this ASTROSAT proposal, we want to observe five late-type galaxies using UVIT and investigate the UV counterpart of the morphology and star formation rate in the extended tidal features.",sreeja
545,2020-02-07 17:19:17,A07_054,T01,A07_054T01_9000003486,Holmber II X-1,124.870750,70.705360,uvit1,"Despite the intensive studies of the ultraluminous X-ray sources (ULXs) there is no strong and obvious evidence to distinguish between two competitive models of the ULXs: whether they contain stellar-mass or intermediate-mass black holes (IMBHs). What we know exactly is that the ULXs are close binary systems with massive donors whose UV and optical emissions seem to be reprocessed in strong heating by X-rays. We propose simultaneous observations of the highly variable ULX Holmberg II X-1 with ASTROSAT (FUV/SXT/LAXPC) to test the UV responses to the X-ray variability. Observations should reveal the system properties and structure of the binary components and their irradiated surfaces. Our previous 3 epochs of observations with SXT and UVIT/FUV show possible correlation between UV and X-ray fluxes, which indicates a binary with the stellar-mass black hole with a supercritical disk rather than a binary with IMBH. But these results require strong confirmation by additional observations.",rita
546,2020-02-08 19:14:23,T03_178,T01,T03_178T01_9000003488,Swift J0840.7-3516,130.170042,-35.273667,laxpc2,,
547,2020-02-11 20:16:39,A07_091,T04,A07_091T04_9000003492,SDSSJ130819+434525,197.079667,43.757111,uvit1,"Requested observation: We propose for a regular-pointing program to study the host galaxies of Tidal Disruption Events (TDEs), distributed within redshift 0.1 using ASTROSAT/UVIT instrument. Total requested time to observe 7 objects using UVIT/FUV is 24.4 ks. This is a continuation of our previous ASTROSAT proposal A05_194. Context: Recent developments in ‘Time-domain Astronomy’ have discovered several new kinds of luminous transients near the centers of galaxies. The diversities in the behavior of these nuclear transients are yet not well explained. The natures of their hosts can shed light on the diversity of nuclear transients. Objectives & Expected scientific results: These observations will lead to determine several physical parameters (e.g., stellar mass, dust content, Star Formation History, Black Hole mass, etc.) of the host galaxy. This study will constrain the TDE models and will also help to understand the diverse properties of the nuclear transients.",RupakRoy
548,2020-02-12 09:02:04,A07_160,T07,A07_160T07_9000003494,Mrk766,184.610500,29.812917,uvit1,"We request multi-wavelength AstroSat observations of Swift/BAT-selected, bright sample of 12 type 1 Active Galactic Nuclei (AGN). Using AstroSat and ground-based optical telescopes, we plan to derive {\it simultaneous} multi-wavelength spectral energy distributions (SEDs), including the far UV grating spectra, for the first time for the AGN. AstroSat is the {\it only} satellite, currently operating, which can provide such multiwavelength data for AGN. We will use these data to (i) model fit the broad band SEDs (and test current theoretical ideas about the physical properties that operate in these objects), (ii) derive bolometric luminosity, accretion rate and bolometric correction factor, (iii) study the connection between the disc emission and the shape of the X-ray continua including the soft X-ray excess, and (v) investigate any connection between the disk reflection and the thermal emission from the disc. We request 15~ksec UVIT exposure for each target to acquire good quality SEDs.",gulabd
549,2020-02-12 18:50:52,A08_004,T02,A08_004T02_9000003496,RX J0439.8-6809,69.956833,-68.150389,sxt,"Supersoft X-ray sources (SSS) are highly luminous, low-kT sources, interpreted as a white dwarf accreting matter at a very high rate from its evolving companion, leading to Eddington-limited, steady thermonuclear burning on the WD surface at kT$\sim$15-80 eV. Maintaining the high ${\dot{M}}$ requires either an evolved donor (for $P_{orb}>6$hrs) or extreme irradiation of a low-mass donor to drive a wind ($<$6hrs). Examples of both are known. From AO-3 to AO-5, we have observed four SSS with AstroSat, including the known, eclipsing SSS CAL87 (LMC, P=10.6h) and the new SSS transient ASASSN-16oh (SMC, P$\sim$5d). The FUV/SXT combination remains a unique facility for such work, making the SSS class excellent targets with which to establish Legacy datasets. We, therefore, propose here to obtain SXT/FUV observations on known, currently active SSS. This will enable systematic modelling of the disc, disc-wind and SSS components, many for the first time.",T03
550,2020-02-13 11:18:20,A07_046,T01,A07_046T01_9000003498,NGC5053,199.112875,17.700250,uvit1,"The present proposal is to request for supplementary FUV observations necessary to characterize the stars in the different evolutionary stages in the metal poor globular cluster NGC5053. Our earlier proposal (A02_31), although granted time and observed, did not have the data release due to issues with Level 1 FUV data. In addition to imaging observations in FUV-UVIT, UV spectroscopy of the stars is also being proposed as the cluster field is very sparse.",sarita
551,2020-02-13 22:28:50,C05_012,T03,C05_012T03_9000003500,Blank Sky-8,237.391917,70.348089,laxpc2,"The LAXPC instrument has a large detection volume which gives rise to high background rate. Further, observations during the last two years have shown that the background rate is not constant, but varies during each orbit and also has some long term variation which is not properly understood. In order to produce a robust LAXPC background model we need frequent observations of the blank sky for at least one day which over entire latitude and longitude range of the AstroSat orbit. These observations are important to analyse data of faint sources like AGNs, Blazars, etc., whose count rates are less than 10% of the LAXPC instrument background. Many of these sources have count rates less than 1% of the background. We propose observation of the Blank Sky-8 during October 2019, December 2019, January 2020, March 2020, April 2020, June 2020, July 2020 and September 2020.",tilak
552,2020-02-15 06:55:16,C05_013,T02,C05_013T02_9000003502,NGC 188,12.080000,85.223917,uvit1,"NGC 188 to be observed every two months. The observations should be spaced out such that the gap between observations should be roughly two months. (October 2019, December 2019, February 2020, April 2020, June 2020, August 2020)",annapurni
553,2020-02-15 08:59:48,A07_054,T01,A07_054T01_9000003504,Holmber II X-1,124.870750,70.705360,uvit1,"Despite the intensive studies of the ultraluminous X-ray sources (ULXs) there is no strong and obvious evidence to distinguish between two competitive models of the ULXs: whether they contain stellar-mass or intermediate-mass black holes (IMBHs). What we know exactly is that the ULXs are close binary systems with massive donors whose UV and optical emissions seem to be reprocessed in strong heating by X-rays. We propose simultaneous observations of the highly variable ULX Holmberg II X-1 with ASTROSAT (FUV/SXT/LAXPC) to test the UV responses to the X-ray variability. Observations should reveal the system properties and structure of the binary components and their irradiated surfaces. Our previous 3 epochs of observations with SXT and UVIT/FUV show possible correlation between UV and X-ray fluxes, which indicates a binary with the stellar-mass black hole with a supercritical disk rather than a binary with IMBH. But these results require strong confirmation by additional observations.",rita
554,2020-02-16 08:53:13,A07_027,T05,A07_027T05_9000003506,NGC1300,49.921000,-19.411200,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
555,2020-02-16 16:45:45,A07_027,T06,A07_027T06_9000003508,NGC1385,54.368000,-24.501300,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
556,2020-02-17 06:14:52,A07_027,T14,A07_027T14_9000003510,NGC4826,194.182083,21.682700,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
557,2020-02-17 10:58:50,A07_027,T09,A07_027T09_9000003512,NGC1792,76.310208,-37.980800,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
558,2020-02-17 15:45:33,A07_027,T08,A07_027T08_9000003514,NGC1559,64.399000,-62.783700,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
559,2020-02-17 22:27:19,A08_009,T01,A08_009T01_9000003516,GOODS-North,189.212500,62.294075,uvit1,"We propose AstroSat-UVIT Deep Field Legacy(AUDFLn) survey for the GOODS North using the FUV imaging. Such a deep wide field observation is essential to finding low-mass, compact, star-forming galaxies(SFGs) that are potential Lyman continuum(LyC) emitters at the intermediate redshift. Detection of these LyC leakers holds the key to our understanding of level of ionizing radiation in our universe-playing a major role in the cosmological modelling of galaxy formation and evolution. Currently, there has been no direct detection of such sources between redshift $z\sim0.4-2.2$, generally known as the redshift desert ($1&amp;lt; z &amp;lt; 2$). With the proposed observation, we will be in a position to detect LyCs sources in redshift desert and construct their luminosity function. We will also construct multi-wavelength SED and determine the physical properties such as stellar population, age and metal abundances of these SFGs. CO data in the GOODS-North will be used to constrain the star-formation efficiency.",T01
560,2020-02-18 22:50:20,C05_007,T01,C05_007T01_9000003518,SSM1CrabMar2020,214.773292,-14.012900,ssm,"SSM cameras need to be calibrated periodically for assessing the instrument performance. Here, we propose to use the Crab nebula as the calibration source for calibration of SSM1 camera with exposure of 25 ksec. SSM1 camera needs to be pointed towards the Crab source such that the the source appears near the normal incidence of the camera. Regular pointed observations are needed to monitor the changes in response of the detectors. The Roll pointing submitted here is such that the Crab source will appear at about the centre of the FOV of SSM1 camera.",ramadevi
561,2020-02-19 14:48:32,A07_091,T10,A07_091T10_9000003520,SDSSJ133737+202351,204.404708,20.397694,uvit1,"Requested observation: We propose for a regular-pointing program to study the host galaxies of Tidal Disruption Events (TDEs), distributed within redshift 0.1 using ASTROSAT/UVIT instrument. Total requested time to observe 7 objects using UVIT/FUV is 24.4 ks. This is a continuation of our previous ASTROSAT proposal A05_194. Context: Recent developments in ‘Time-domain Astronomy’ have discovered several new kinds of luminous transients near the centers of galaxies. The diversities in the behavior of these nuclear transients are yet not well explained. The natures of their hosts can shed light on the diversity of nuclear transients. Objectives & Expected scientific results: These observations will lead to determine several physical parameters (e.g., stellar mass, dust content, Star Formation History, Black Hole mass, etc.) of the host galaxy. This study will constrain the TDE models and will also help to understand the diverse properties of the nuclear transients.",RupakRoy
562,2020-02-19 19:38:15,C05_002,T06,C05_002T06_9000003522,XRBBlankF1T6,203.654167,37.912222,sxt,"We propose to observe an X-ray ""blank sky"" field weekly, each time for 1.5 ks, in the bias map (BM) mode. This will be extremely useful to track the time evolution of bias map and zero energy point, and to subtract a more reliable bias for each science observation. The proposed observation will also be very useful for background estimation.",sudip
563,2020-02-19 22:19:04,T03_180,T01,T03_180T01_9000003524,XTE J1739-285,264.974792,-28.496333,laxpc2,,
564,2020-02-20 23:33:48,A07_113,T01,A07_113T01_9000003526,Her X-1,254.457542,35.342333,uvit1,"Her X-1 is to be observed by UVIT, SXT, LAXPC, and CZTI instruments for one full binary orbit, including eclipse, during short high state. The 35-day cycle of Her X-1 consists of the sequence: high state, low state, short high state and low state. This is caused by the precessing accretion disk, which blocks direct emission from the neutron star during the low states, and partially blocks the emission during short high state. The X-ray orbital light curve is very different in main high, short high and low states. This is caused by the different orientation of the disk, which changes the X-ray illumination of the different structures in the binary system. The proposed observation of the orbital light curve in X-rays and UV for short high state is critical to obtain a reliable measure of the disk geometry and of the system geometry.",dleahy
565,2020-02-24 15:23:10,A07_027,T03,A07_027T03_9000003528,IC1954,52.880792,-51.904900,uvit1,"We request 336 ks of time to execute AstroSat UVIT observations of 14 nearby galaxies, revealing the population of newly formed massive stars. When combined with archival data, this study will yield a sample of 33 galaxies with complete ALMA, HST and AstroSat FUV data, from the Physics at High Angular resolution in Nearby GalaxieS (PHANGS) sample. ALMA maps emission from the molecular gas that is the immediate reservoir from which stars form, while the HST data provide detailed information on star cluster properties, both at 1'''' resolution. The proposed AstroSat FUV data provide essential constraints on the properties of the youngest clusters and their feedback on the local ISM. We will use these data to measure the lifetimes of molecular clouds and clusters, making the first systematic measurements of how these key physical parameters are regulated by the conditions of the interstellar medium (ISM) and the local galactic environment",rosolowsky
566,2020-02-25 03:51:14,A07_001,T06,A07_001T06_9000003530,LMCSouth_6,73.920833,-71.413333,uvit1,"The LMC-SMC-MW is an interacting system of galaxies, with a number of features suggesting ongoing interaction. Indu & Subramaniam (2011) found that among the spiral arms, identified in the H I intensity maps, Arms B and S show relatively large velocity when compared to the disk velocity. They speculate that the velocity anomaly might suggest that the H I gas is accreted by the LMC and could trigger star formation. The six regions proposed for observation constitute the densest region with young UV bright stars (Galex image) in the south-west LMC, along Arm S. We plan to image these regions in the FUV using UVIT, to (1) estimate the age and (2) distance to these stars and (3) metallicity from the multi-wavelength SEDs to locate, age-date the south-west LMC disk population. We plan to get the star counts to check whether this is the edge of the young LMC disk.",annapurni
567,2020-02-25 09:07:37,A07_091,T10,A07_091T10_9000003532,SDSSJ133737+202351,204.404708,20.397694,uvit1,"Requested observation: We propose for a regular-pointing program to study the host galaxies of Tidal Disruption Events (TDEs), distributed within redshift 0.1 using ASTROSAT/UVIT instrument. Total requested time to observe 7 objects using UVIT/FUV is 24.4 ks. This is a continuation of our previous ASTROSAT proposal A05_194. Context: Recent developments in ‘Time-domain Astronomy’ have discovered several new kinds of luminous transients near the centers of galaxies. The diversities in the behavior of these nuclear transients are yet not well explained. The natures of their hosts can shed light on the diversity of nuclear transients. Objectives & Expected scientific results: These observations will lead to determine several physical parameters (e.g., stellar mass, dust content, Star Formation History, Black Hole mass, etc.) of the host galaxy. This study will constrain the TDE models and will also help to understand the diverse properties of the nuclear transients.",RupakRoy
568,2020-02-25 13:48:40,A07_149,T01,A07_149T01_9000003534,NGC 1313,49.566667,-66.498333,uvit1,"We propose Far-UV study of a nearby galaxy, NGC 1313 which is known to have multiple star formation triggering mechanisms, such as, spiral density waves, actions of bar and expanding super-giant shells etc, simultaneously in action. From UVIT observations we plan to i) identify the star forming knots, estimate their star formation rates and sizes (ii)to compare the nature of star formation properties in different regions of galaxy to check their dependence on different triggering mechanisms and (iii) to constrain the age and extinction properties of star forming regions using multiple FUV filters. As the detection of such giant super-shell (radius>1kpc) in a spiral galaxy is rare, this galaxy offers a good opportunity to study the evolution and impact of the super-shell in the presence of other triggering mechanisms. We propose FUV (F148W-CaF2-1 andF169M-Sapphire) observations of NGC 1313 and request a total of 10 Ks observing time for this project.",chayan
569,2020-02-26 15:50:38,C05_002,T07,C05_002T07_9000003536,XRBBlankF1T7,203.654167,37.912222,sxt,"We propose to observe an X-ray ""blank sky"" field weekly, each time for 1.5 ks, in the bias map (BM) mode. This will be extremely useful to track the time evolution of bias map and zero energy point, and to subtract a more reliable bias for each science observation. The proposed observation will also be very useful for background estimation.",sudip
